"","Journalnr.","Fisk nr.","År","Dato","Fangststed","Redskap","(mm)","Art","cm","g","K-faktor","Kjønn","Stadium","farge","Opphav","Merknad","otolitt","Alder","1.år","2.år","3.år","4.år","5.år","6.år","7.år","8.år","9.år","10 å","11år","12. år","13. år","14. år","NA","sodomi","sodomi","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"39",34464,39,2009,40052,"STÅVATN  ","BG",22.5,"ØRRET",25,160,1.024,"HANN",2,"H","FF",NA,4.3,4,5.5,9,15,22,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",34465,40,2009,40052,"STÅVATN  ","BG",22.5,"ØRRET",19.3,80,1.11280241622789,"HUNN",2,"H","FF",NA,NA,3,7,12,16.5,19.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",34466,41,2009,40052,"STÅVATN  ","BG",22.5,"ØRRET",20.9,91,0.996787387112459,"HUNN",2,"LR","VILL","OPPFØRT SOM: FF ?",NA,5,3.5,7,12,15,18,20.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",34467,42,2009,40052,"STÅVATN  ","BG",22.5,"ØRRET",22.2,104,0.950548795691235,"HANN",2,"LR","FF",NA,NA,3,7,12.5,19,22.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",34468,43,2009,40052,"STÅVATN  ","BG",22.5,"ØRRET",19.7,79,1.03330471907649,"HUNN",2,"H","FF",NA,NA,3,7,12,17,19.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",34469,44,2009,40052,"STÅVATN  ","BG",22.5,"ØRRET",21.7,110,1.07649863534225,"HUNN",2,"H","FF",NA,NA,3,6.5,13.5,18,21.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",34470,45,2009,40052,"STÅVATN  ","BG",22.5,"ØRRET",22.5,108,0.948148148148148,"HANN",2,"H","FF",NA,NA,3,7,14,18.5,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",34471,46,2009,40052,"STÅVATN  ","BG",22.5,"ØRRET",21.8,100,0.96522935007633,"HUNN",2,"LR","FF",NA,NA,3,6.5,13.5,18.5,21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",34472,47,2009,40052,"STÅVATN  ","BG",22.5,"ØRRET",22.7,112,0.957503678481208,"HANN",2,"LR","VILL","OPPFØRT SOM: FF ?, VANSKELIG PLASSERING AV 1. SONE",4,4,4.5,8.5,13.5,18,22.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",34473,48,2009,40052,"STÅVATN  ","BG",22.5,"ØRRET",20,82,1.025,"HUNN",2,"LR","FF",NA,NA,3,7,13,18,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",34474,49,2009,40052,"STÅVATN  ","BG",22.5,"ØRRET",20,96,1.2,"HUNN",2,"H","FF",NA,NA,3,6,11,16,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",34475,50,2009,40052,"STÅVATN  ","BG",22.5,"ØRRET",20.4,94,1.10722874309278,"HUNN",2,"LR","FF",NA,NA,3,6.5,12,17,20.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",34476,51,2009,40052,"STÅVATN  ","BG",22.5,"ØRRET",19.8,84,1.08214065973478,"HANN",2,"H","FF",NA,NA,3,6.5,13,17,19.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",34477,52,2009,40052,"STÅVATN  ","BG",22.5,"ØRRET",21.3,93,0.962374569220964,"HANN",2,"LR","FF",NA,NA,3,6.5,12.5,17.5,21.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",34478,53,2009,40052,"STÅVATN  ","BG",22.5,"ØRRET",19.5,77,1.03845310945903,"HUNN",2,"LR","FF",NA,NA,2,5,10,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
